"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","Group","Grazing"
"194","q24",58,42,50.27035,40.43372,8,0,5.22230195999146,"lb1","No"
"195","q24",58,65,7.642251,12.68119,7,1,-0.13841138780117,"lb1","No"
"196","q24",59,31,313.7736,304.5139,17,0,25.406982421875,"lb1","No"
"197","q24",59,33,249.9325,255.301456,10,0,7.62312316894531,"lb1","No"
"198","q24",59,35,34.377441,107.18556,9,0,0.159403964877129,"lb1","No"
"199","q24",59,36,113.0742,66.99928,9,0,24.0226135253906,"lb1","No"
"200","q24",59,38,65.41845,106.9362,9,0,17.3698654174805,"lb1","No"
"201","q24",59,42,58.72155,50.27035,9,0,1.70707893371582,"lb1","No"
"202","q24",59,65,21.7192,7.642251,8,1,0.0733941718935966,"lb1","No"
"203","q24",59,70,5.482027,13.46346,1,0,6.47336769104004,"lb1","No"
"204","q24",60,31,495.1586,313.7736,18,0,24.1539573669434,"lb1","No"
"205","q24",60,33,1014.892,249.9325,11,0,17.8124008178711,"lb1","No"
"206","q24",60,35,148.03009,34.377441,10,0,1.78729331493378,"lb1","No"
"207","q24",60,38,128.972,65.41845,10,0,18.895378112793,"lb1","No"
"208","q24",60,42,76.97117,58.72155,10,0,3.09091544151306,"lb1","No"
"209","q24",60,65,99.21832,21.7192,9,1,-0.424056112766266,"lb1","No"
"210","q24",60,70,58.56306,5.482027,2,0,5.36393880844116,"lb1","No"
"211","q24",61,31,576.1819,495.1586,19,0,19.661096572876,"lb1","No"
"212","q24",61,33,766.1276,1014.892,12,0,11.968017578125,"lb1","No"
"213","q24",61,38,314.5516,128.972,11,0,17.9443130493164,"lb1","No"
"214","q24",61,65,33.90264,99.21832,10,0,-0.012076479382813,"lb1","No"
"215","q24",61,70,61.11191,58.56306,3,0,1.74772500991821,"lb1","No"
"216","q24",64,31,513.4926,333.7523,22,0,16.210599899292,"lb1","No"
"217","q24",64,33,961.2954,1216.215,15,0,2.87260437011719,"lb1","No"
"218","q24",64,38,180.9543,262.0533,14,0,12.3947982788086,"lb1","No"
"219","q24",64,42,112.0638,114.4537,14,0,-0.0456235893070698,"lb1","No"
"220","q24",64,70,142.1064,108.4882,6,0,10.6745080947876,"lb1","No"
"221","q24",64,71,171.3031,187.6435,6,0,4.56388854980469,"lb1","No"
"222","q24",65,31,518.373,513.4926,23,0,23.0438690185547,"lb1","No"
"223","q24",65,33,893.28697,961.2954,16,0,8.68913269042969,"lb1","No"
"224","q24",65,38,269.0291,180.9543,15,0,18.2689208984375,"lb1","No"
"225","q24",65,42,52.76915,112.0638,15,0,0.262949228286743,"lb1","No"
"226","q24",65,65,30.44234,36.06948,14,0,0.0798517242074013,"lb1","No"
"227","q24",65,70,70.19505,142.1064,7,0,-0.0287574306130409,"lb1","No"
"228","q24",65,71,154.6131273,171.3031,7,0,-0.351634174585342,"lb1","No"
"229","q24",66,31,516.3962,518.373,24,0,20.6124000549316,"lb1","No"
"230","q24",66,33,1312.231236,893.28697,17,0,1.95813751220703,"lb1","No"
"231","q24",66,38,187.95302,269.0291,16,0,16.2690734863281,"lb1","No"
"232","q24",66,42,23.464114,52.76915,16,0,2.07265496253967,"lb1","No"
"233","q24",66,65,27.46766,30.44234,15,0,2.10140752792358,"lb1","No"
"234","q24",66,70,103.8541,70.19505,8,0,4.78122806549072,"lb1","No"
"235","q24",66,71,261.428,154.6131273,8,0,3.06683349609375,"lb1","No"
"236","q24",67,31,549.7452,516.3962,25,0,19.0818672180176,"lb1","No"
"237","q24",67,33,943.1946,1312.231236,18,0,-0.036346435546875,"lb1","No"
"238","q24",67,38,34.0792,187.95302,17,0,19.4669723510742,"lb1","No"
"239","q24",67,42,73.29728,23.464114,17,0,4.17122793197632,"lb1","No"
"240","q24",67,65,28.77738,27.46766,16,0,0.0162290092557669,"lb1","No"
"241","q24",67,70,107.9579,103.8541,9,0,3.02026438713074,"lb1","No"
"242","q24",67,71,165.745,261.428,9,0,-0.0509230755269527,"lb1","No"
"243","q24",70,31,812.1799,526.1351,28,0,22.7108154296875,"lb1","No"
"244","q24",70,33,1311.914,1270.35995,21,0,-0.207618713378906,"lb1","No"
"245","q24",70,38,417.66632,275.89423,20,0,15.3728408813477,"lb1","No"
"246","q24",70,70,295.34379,264.67458,12,0,-0.10125844180584,"lb1","No"
"247","q24",70,71,474.3694,327.5471,12,0,-0.311595678329468,"lb1","No"
"248","q24",71,31,313.1325032,812.1799,29,0,11.659423828125,"lb1","No"
"249","q24",71,33,1142.145,1311.914,22,0,8.65090179443359,"lb1","No"
"250","q24",71,38,245.05999,417.66632,21,0,18.2143630981445,"lb1","No"
"251","q24",71,70,304.3800005,295.34379,13,0,-0.0260407142341137,"lb1","No"
"252","q24",71,71,357.7,474.3694,13,0,0.033182218670845,"lb1","No"
"253","q30",37,13,10.11526,7.151419,1,0,14.1052093505859,"lb2","No"
"254","q30",56,27,23.35798,23.78182,1,1,-0.00799075979739428,"lb2","No"
"255","q30",59,27,138.344,130.3533,4,0,5.92185068130493,"lb2","No"
"256","q30",59,32,21.85291,75.7903,1,0,0.607330322265625,"lb2","No"
"257","q30",59,35,22.16002,13.14715,1,0,0.361349403858185,"lb2","No"
"258","q30",59,36,50.08093,3.143405,1,1,0.209035858511925,"lb2","No"
"259","q30",60,27,90.88952,138.344,5,0,0.853524625301361,"lb2","No"
"260","q30",60,35,49.02656,22.16002,2,0,0.31248739361763,"lb2","No"
"261","q30",61,27,78.22617,90.88952,6,0,1.756023645401,"lb2","No"
"262","q30",61,29,6.125576,67.66752,5,0,23.4445419311523,"lb2","No"
"263","q30",61,35,17.397278,49.02656,3,0,-0.437919914722443,"lb2","No"
"264","q30",62,27,318.6696,78.22617,7,0,3.799968957901,"lb2","No"
"265","q30",62,29,16.26211,6.125576,6,0,28.0881805419922,"lb2","No"
"266","q30",63,27,504.3366,318.6696,8,0,0.0802071392536163,"lb2","No"
"267","q30",63,29,15.12953,16.26211,7,0,28.1863346099854,"lb2","No"
"268","q30",64,27,689.7595,504.3366,9,0,-0.354140549898148,"lb2","No"
"269","q30",65,27,144.110064,689.7595,10,0,-0.351264357566833,"lb2","No"
"270","q30",68,27,245.01241,13.79835,13,0,4.8071141242981,"lb2","No"
"271","q30",69,27,114.0921,245.01241,14,0,0.0084380516782403,"lb2","No"
"272","q30",71,39,96.5417,16.57062,1,0,8.48908519744873,"lb2","No"
"273","q31",50,9,1.624056,2.69175,1,0,3.39910888671875,"lb2","No"
"274","q32",34,7,11.335198,90.48537,1,0,2.60747694969177,"lb2","No"
"275","q4",69,99,282.0887,312.3059,1,0,11.8892335891724,"sg1a","No"
"276","q8",65,28,68.28075,69.67735,1,0,24.3829936981201,"et1","No"
"277","q8",66,28,113.3318,68.28075,2,0,25.0368061065674,"et1","No"
"278","q8",67,28,177.8667,113.3318,3,0,30.747091293335,"et1","No"
"279","q8",68,28,435.9272,177.8667,4,0,24.924165725708,"et1","No"
"280","q8",68,30,64.66772,7.682408,1,0,11.3867492675781,"et1","No"
"281","q8",69,28,339.5684,435.9272,5,0,19.5334205627441,"et1","No"
"282","q8",69,30,137.8629,64.66772,2,0,11.0428314208984,"et1","No"
"283","q8",70,28,180.445,339.5684,6,0,18.4629993438721,"et1","No"
"284","q8",70,30,115.5259,137.8629,3,0,8.26492309570312,"et1","No"
"285","q8",70,32,143.7085,169.5654,1,0,-0.383369445800781,"et1","No"
"286","q8",70,33,22.02652,118.8131,1,0,22.0823364257812,"et1","No"
"287","q8",71,28,245.3603,180.445,7,0,29.3997192382812,"et1","No"
"288","q8",71,30,268.1862,115.5259,4,0,6.65628814697266,"et1","No"
"289","q8",71,32,224.3229,143.7085,2,0,-0.226730346679688,"et1","No"
"290","q8",71,33,50.38826,22.02652,2,0,25.0180206298828,"et1","No"
"291","q8",71,34,57.49102,28.44313,1,0,-0.0084381103515625,"et1","No"
"292","q8",71,35,147.0892,145.9321,1,0,0.0152234900742769,"et1","No"
